Station ∆,Date,Ave. T. (ºC),Max. T. (ºC),Min. T. (ºC),Prec. (mm),S.L.Press./ Gheopot.,Wind dir,Wind sp. (Km/h),Cloud c.,Snow depth (cm),Insolat. (hours)
ABADEH,23/01/2024,6.7,18.1,-4.8,0.0,1018.9 Hpa,277º(W),12,2/8,-,-
ABADEH,22/01/2024,7.3,16.8,-2.1,0.0,1022.4 Hpa,322º(NW),5,0/8,-,-
ABADEH,21/01/2024,3.0,12.6,-6.7,0.0,1021.2 Hpa,311º(NW),7,0/8,-,-
ABADEH,20/01/2024,4.8,15.6,-5.9,0.0,1023.5 Hpa,277º(W),7,2/8,-,-
ABADEH,19/01/2024,2.9,11.3,-5.5,0.0,1023.6 Hpa,326º(NW),9,0/8,-,-
ABADEH,18/01/2024,6.0,15.0,-3.0,0.0,1019.4 Hpa,338º(N),8,2/8,-,-
ABADEH,17/01/2024,5.5,14.2,-3.3,0.0,1020.3 Hpa,318º(NW),7,0/8,-,-
ABADEH,16/01/2024,7.0,14.8,-0.7,0.0,1018.9 Hpa,297º(NW),8,2/8,-,9.2
ABADEH,15/01/2024,9.6,15.8,3.3,0.0,1016.4 Hpa,264º(W),10,3/8,-,-
ABADEH,14/01/2024,7.5,15.6,-0.7,0.0,1016.6 Hpa,248º(W),20,1/8,-,-
ABADEH,13/01/2024,7.5,14.6,0.5,0.0,1015.3 Hpa,219º(SW),11,0/8,-,-
ABADEH,12/01/2024,2.7,11.2,-5.8,0.0,1011.3 Hpa,207º(SW),23,1/8,-,-
ABADEH,11/01/2024,5.7,17.0,-5.7,0.0,1016.3 Hpa,274º(W),11,0/8,-,-
ABADEH,10/01/2024,8.2,16.8,-0.5,0.0,1017.0 Hpa,287º(W),12,0/8,-,-
ABADEH,09/01/2024,5.5,18.1,-7.1,0.0,1021.5 Hpa,316º(NW),9,2/8,-,-
ABADEH,08/01/2024,4.5,17.6,-8.5,0.0,1027.7 Hpa,334º(NW),6,0/8,-,-
ABADEH,07/01/2024,1.9,8.7,-5.0,0.0,1027.7 Hpa,335º(NW),6,0/8,-,-
ABADEH,06/01/2024,4.8,15.5,-6.0,0.0,1018.0 Hpa,290º(W),11,0/8,-,-
ABADEH,05/01/2024,4.5,15.3,-6.2,0.0,1018.8 Hpa,282º(W),14,0/8,-,-
ABADEH,04/01/2024,5.3,12.8,-2.2,0.0,1018.9 Hpa,324º(NW),6,0/8,-,-
ABADEH,03/01/2024,5.2,13.3,-2.9,0.0,1015.4 Hpa,303º(NW),9,1/8,-,-
ABADEH,02/01/2024,5.3,13.2,-2.5,0.0,1021.3 Hpa,159º(S),6,0/8,-,-
ABADEH,01/01/2024,6.0,12.4,-0.4,0.0,1020.7 Hpa,308º(NW),9,1/8,-,-
ABU MUSA,31/01/2024,25.3,28.0,22.6,0.0,1014.8 Hpa,261º(W),8,3/8,-,-
ABU MUSA,30/01/2024,24.5,27.2,21.8,0.0,1016.3 Hpa,268º(W),12,4/8,-,-
ABU MUSA,29/01/2024,23.6,25.2,22.0,0.0,1016.5 Hpa,306º(NW),18,4/8,-,-
ABU MUSA,28/01/2024,23.1,24.6,21.6,0.0,1015.5 Hpa,286º(W),24,4/8,-,-
ABU MUSA,27/01/2024,23.3,26.8,19.8,0.0,1015.1 Hpa,215º(SW),22,5/8,-,-
ABU MUSA,26/01/2024,22.4,26.6,18.2,0.0,1014.6 Hpa,182º(S),14,5/8,-,-
ABU MUSA,25/01/2024,22.0,25.8,18.2,0.0,1016.0 Hpa,238º(SW),13,3/8,-,-
ABU MUSA,24/01/2024,21.4,25.4,17.4,0.0,1017.3 Hpa,236º(SW),15,0/8,-,-
ABU MUSA,23/01/2024,22.0,26.8,17.2,0.0,1019.1 Hpa,270º(W),12,0/8,-,-
ABU MUSA,22/01/2024,24.3,26.8,21.8,0.0,1019.0 Hpa,284º(W),12,0/8,-,-
ABU MUSA,21/01/2024,22.0,26.2,17.8,0.0,1018.1 Hpa,268º(W),12,2/8,-,-
ABU MUSA,20/01/2024,23.4,26.6,20.2,0.0,1018.6 Hpa,269º(W),10,0/8,-,-
ABU MUSA,19/01/2024,23.8,25.6,22.0,0.0,1015.7 Hpa,296º(NW),17,2/8,-,-
ABU MUSA,18/01/2024,24.3,26.4,22.2,0.0,1014.1 Hpa,266º(W),14,3/8,-,-
ABU MUSA,17/01/2024,24.6,25.6,23.6,0.0,1012.4 Hpa,282º(W),30,0/8,-,-
ABU MUSA,16/01/2024,24.0,27.8,20.2,0.0,1014.6 Hpa,286º(W),23,3/8,-,-
ABU MUSA,15/01/2024,23.4,27.6,19.2,0.0,1016.4 Hpa,246º(SW),14,3/8,-,-
ABU MUSA,14/01/2024,24.4,27.6,21.2,0.0,1016.2 Hpa,243º(SW),12,2/8,-,-
ABU MUSA,13/01/2024,22.4,27.6,17.2,0.0,1016.5 Hpa,227º(SW),9,2/8,-,-
ABU MUSA,12/01/2024,21.2,25.8,16.6,0.0,1015.7 Hpa,254º(W),12,2/8,-,-
ABU MUSA,11/01/2024,20.7,26.0,15.4,0.0,1017.1 Hpa,278º(W),7,3/8,-,-
ABU MUSA,10/01/2024,22.6,27.2,18.0,0.0,1019.0 Hpa,275º(W),4,0/8,-,-
ABU MUSA,09/01/2024,24.0,27.0,21.0,0.0,1020.0 Hpa,296º(NW),6,0/8,-,-
ABU MUSA,08/01/2024,23.1,27.2,19.0,0.0,1020.7 Hpa,76º(E),10,1/8,-,-
ABU MUSA,07/01/2024,24.0,26.0,22.0,0.0,1017.1 Hpa,250º(W),2,2/8,-,-
ABU MUSA,06/01/2024,24.7,27.2,22.2,0.0,1015.6 Hpa,260º(W),9,2/8,-,-
ABU MUSA,05/01/2024,23.7,27.0,20.4,0.0,1015.7 Hpa,283º(W),6,3/8,-,-
ABU MUSA,04/01/2024,23.7,24.8,22.6,0.0,1014.3 Hpa,285º(W),32,4/8,-,-
ABU MUSA,03/01/2024,24.5,26.2,22.8,0.0,1014.2 Hpa,270º(W),15,4/8,-,-
ABU MUSA,02/01/2024,25.8,27.8,23.8,0.0,1015.6 Hpa,287º(W),23,1/8,-,-
ABU MUSA,01/01/2024,24.7,27.8,21.6,0.0,1016.2 Hpa,287º(W),23,1/8,-,-
AHAR,31/01/2024,-3.4,-2.1,-4.7,0.1,1030.7 Hpa,141º(SE),4,8/8,9,-
AHAR,30/01/2024,-3.9,1.3,-9.0,1.3,1030.7 Hpa,119º(SE),5,8/8,8,-
AHAR,29/01/2024,-3.1,2.5,-8.7,Tr,1026.8 Hpa,285º(W),2,4/8,12,-
AHAR,28/01/2024,-0.8,2.0,-3.7,0.0,1019.2 Hpa,255º(W),17,5/8,15,-
AHAR,27/01/2024,0.3,6.7,-6.0,0.3,1008.7 Hpa,257º(W),11,6/8,17,-
AHAR,26/01/2024,-5.8,3.0,-14.6,0.0,1017.0 Hpa,283º(W),21,4/8,26,-
AHAR,25/01/2024,-6.8,0.1,-13.6,0.0,1023.1 Hpa,280º(W),13,1/8,31,-
AHAR,24/01/2024,-4.2,-2.1,-6.2,10.1,1024.6 Hpa,113º(SE),9,8/8,27,-
AHAR,23/01/2024,0.3,2.3,-1.7,7.7,1023.6 Hpa,107º(E),12,8/8,6,-
AHAR,22/01/2024,4.4,8.0,0.8,0.6,1021.3 Hpa,218º(SW),15,6/8,6,-
AHAR,21/01/2024,4.0,8.1,-0.1,0.0,1020.6 Hpa,292º(W),13,4/8,9,-
AHAR,20/01/2024,4.9,11.1,-1.3,0.0,1021.6 Hpa,276º(W),15,3/8,12,-
AHAR,19/01/2024,0.0,6.2,-6.2,0.0,1022.8 Hpa,292º(W),18,3/8,15,-
AHAR,18/01/2024,1.6,6.8,-3.6,0.0,1025.8 Hpa,310º(NW),4,1/8,20,-
AHAR,17/01/2024,0.3,7.1,-6.4,0.0,1020.5 Hpa,263º(W),12,2/8,27,-
AHAR,16/01/2024,-2.0,8.1,-12.2,0.0,1022.8 Hpa,263º(W),20,2/8,30,6.8
AHAR,15/01/2024,-1.9,8.2,-12.1,0.0,1023.4 Hpa,304º(NW),13,3/8,42,-
AHAR,14/01/2024,-4.2,-2.4,-6.1,12.5,1019.6 Hpa,83º(E),7,8/8,42,-
AHAR,13/01/2024,2.7,6.5,-1.1,18.6,1007.4 Hpa,176º(S),13,8/8,-,-
AHAR,12/01/2024,3.5,8.4,-1.4,0.0,1005.9 Hpa,252º(W),19,5/8,1,-
AHAR,11/01/2024,3.1,4.6,1.6,2.4,1015.3 Hpa,105º(E),7,7/8,-,-
AHAR,10/01/2024,8.2,10.4,6.0,3.5,1011.8 Hpa,234º(SW),14,7/8,-,-
AHAR,09/01/2024,8.2,12.6,3.8,0.0,1014.2 Hpa,250º(W),22,4/8,-,-
AHAR,08/01/2024,6.3,13.4,-0.7,0.0,1017.3 Hpa,291º(W),16,3/8,-,-
AHAR,07/01/2024,3.5,9.2,-2.2,0.0,1023.9 Hpa,282º(W),15,0/8,-,-
AHAR,06/01/2024,6.0,9.7,2.2,1.1,1020.0 Hpa,241º(SW),18,3/8,-,-
AHAR,05/01/2024,5.5,12.0,-0.9,5.6,1011.0 Hpa,273º(W),21,6/8,-,-
AHAR,04/01/2024,5.5,10.8,0.1,0.0,1015.2 Hpa,273º(W),14,4/8,-,-
AHAR,03/01/2024,3.5,10.2,-3.2,0.0,1013.3 Hpa,284º(W),16,3/8,-,-
AHAR,02/01/2024,4.4,12.6,-3.8,0.0,1019.6 Hpa,283º(W),12,3/8,-,-
AHAR,01/01/2024,6.6,11.3,1.9,0.0,1021.8 Hpa,289º(W),11,1/8,-,-
AHWAZ,31/01/2024,17.9,24.0,11.7,0.0,1017.4 Hpa,309º(NW),9,0/8,-,-
AHWAZ,30/01/2024,14.1,21.7,6.5,0.0,1018.1 Hpa,285º(W),5,4/8,-,-
AHWAZ,29/01/2024,13.4,20.0,6.9,0.0,1020.6 Hpa,333º(NW),4,3/8,-,-
AHWAZ,28/01/2024,15.7,21.1,10.3,0.0,1019.6 Hpa,263º(W),7,1/8,-,-
AHWAZ,27/01/2024,16.4,19.8,13.0,3.4,1013.9 Hpa,264º(W),8,4/8,-,-
AHWAZ,26/01/2024,15.8,20.1,11.4,15.3,1013.3 Hpa,80º(E),7,7/8,-,-
AHWAZ,25/01/2024,17.8,24.2,11.3,0.0,1016.6 Hpa,312º(NW),4,4/8,-,-
AHWAZ,24/01/2024,19.5,25.4,13.6,0.2,1015.1 Hpa,208º(SW),11,5/8,-,-
AHWAZ,23/01/2024,16.8,25.3,8.3,Tr,1016.5 Hpa,138º(SE),15,5/8,-,-
AHWAZ,22/01/2024,17.0,25.8,8.2,Tr,1020.1 Hpa,130º(SE),5,1/8,-,-
AHWAZ,21/01/2024,15.3,23.4,7.3,0.0,1020.5 Hpa,305º(NW),5,1/8,-,-
AHWAZ,20/01/2024,15.4,23.4,7.5,0.0,1020.6 Hpa,303º(NW),5,3/8,-,-
AHWAZ,19/01/2024,15.6,23.6,7.5,0.0,1019.0 Hpa,304º(NW),5,1/8,-,-
AHWAZ,18/01/2024,15.2,22.3,8.0,0.0,1017.1 Hpa,269º(W),5,2/8,-,-
AHWAZ,17/01/2024,15.2,22.0,8.3,0.0,1017.3 Hpa,291º(W),7,0/8,-,-
AHWAZ,16/01/2024,17.4,23.4,11.5,0.0,1019.3 Hpa,271º(W),13,1/8,-,8.7
AHWAZ,15/01/2024,16.4,21.8,11.1,Tr,1018.1 Hpa,267º(W),5,6/8,-,-
AHWAZ,14/01/2024,17.0,25.1,8.9,Tr,1014.7 Hpa,127º(SE),13,5/8,-,-
AHWAZ,13/01/2024,16.2,23.6,8.9,0.0,1016.2 Hpa,241º(SW),2,2/8,-,-
AHWAZ,12/01/2024,16.5,22.5,10.5,0.0,1013.6 Hpa,196º(S),9,3/8,-,-
AHWAZ,11/01/2024,14.4,23.0,5.9,Tr,1015.0 Hpa,131º(SE),12,4/8,-,-
AHWAZ,10/01/2024,14.2,22.9,5.6,0.0,1018.8 Hpa,135º(SE),11,1/8,-,-
AHWAZ,09/01/2024,13.7,21.7,5.6,0.0,1021.6 Hpa,135º(SE),3,3/8,-,-
AHWAZ,08/01/2024,15.7,22.0,9.3,0.0,1022.8 Hpa,280º(W),4,2/8,-,-
AHWAZ,07/01/2024,16.4,23.6,9.2,0.0,1020.6 Hpa,298º(NW),9,0/8,-,-
AHWAZ,06/01/2024,15.8,22.4,9.2,0.0,1020.2 Hpa,300º(NW),7,0/8,-,-
AHWAZ,05/01/2024,15.8,22.0,9.7,0.0,1018.9 Hpa,300º(NW),6,0/8,-,-
AHWAZ,04/01/2024,16.0,22.2,9.8,0.0,1018.5 Hpa,286º(W),7,0/8,-,-
AHWAZ,03/01/2024,14.9,21.1,8.8,0.0,1017.4 Hpa,288º(W),6,2/8,-,-
AHWAZ,02/01/2024,15.5,22.0,9.0,0.0,1018.8 Hpa,280º(W),3,2/8,-,-
AHWAZ,01/01/2024,15.8,19.2,12.3,0.0,1020.1 Hpa,287º(W),4,3/8,-,-
ALI-GOODARZ,31/01/2024,1.5,7.9,-4.9,0.0,1021.3 Hpa,116º(SE),21,2/8,-,-
ALI-GOODARZ,30/01/2024,0.3,5.8,-5.1,0.0,1023.5 Hpa,142º(SE),12,2/8,-,-
ALI-GOODARZ,29/01/2024,0.3,5.4,-4.8,0.0,1022.0 Hpa,54º(NE),9,1/8,2,-
ALI-GOODARZ,28/01/2024,1.1,3.9,-1.6,1.8,1018.5 Hpa,122º(SE),16,3/8,8,-
ALI-GOODARZ,27/01/2024,4.0,8.3,-0.2,14.9,1012.3 Hpa,116º(SE),15,7/8,3,-
ALI-GOODARZ,26/01/2024,3.1,6.1,0.2,6.6,1015.7 Hpa,103º(E),18,7/8,-,-
ALI-GOODARZ,25/01/2024,5.5,9.9,1.2,0.0,1015.6 Hpa,359º(N),11,3/8,-,-
ALI-GOODARZ,24/01/2024,6.7,10.2,3.1,0.0,1013.0 Hpa,183º(S),28,5/8,-,-
ALI-GOODARZ,23/01/2024,2.6,8.4,-3.1,4.8,1018.1 Hpa,144º(SE),36,7/8,-,-
ALI-GOODARZ,22/01/2024,4.8,13.2,-3.5,0.0,1022.0 Hpa,88º(E),15,4/8,-,-
ALI-GOODARZ,21/01/2024,4.0,11.0,-2.9,0.0,1023.1 Hpa,95º(E),17,0/8,-,-
ALI-GOODARZ,20/01/2024,4.0,11.2,-3.3,0.0,1022.6 Hpa,116º(SE),13,3/8,-,-
ALI-GOODARZ,19/01/2024,4.3,12.4,-3.8,0.0,1022.9 Hpa,130º(SE),14,1/8,-,-
ALI-GOODARZ,18/01/2024,3.6,11.9,-4.6,0.0,1019.9 Hpa,150º(SE),15,2/8,-,-
ALI-GOODARZ,17/01/2024,3.3,11.0,-4.4,0.0,1021.2 Hpa,62º(NE),16,1/8,-,-
ALI-GOODARZ,16/01/2024,3.7,10.2,-2.8,0.0,1022.1 Hpa,123º(SE),10,0/8,-,9.1
ALI-GOODARZ,15/01/2024,6.9,11.2,2.6,0.0,1017.0 Hpa,115º(SE),24,3/8,-,-
ALI-GOODARZ,14/01/2024,6.3,9.8,2.9,1.3,1015.0 Hpa,180º(S),27,4/8,-,-
ALI-GOODARZ,13/01/2024,5.0,8.6,1.5,0.0,1014.1 Hpa,152º(SE),31,3/8,-,-
ALI-GOODARZ,12/01/2024,4.0,6.0,1.9,3.1,1012.2 Hpa,166º(S),24,6/8,-,-
ALI-GOODARZ,11/01/2024,6.5,12.1,1.0,0.4,1013.6 Hpa,134º(SE),23,6/8,-,-
ALI-GOODARZ,10/01/2024,8.1,14.5,1.6,0.0,1014.8 Hpa,135º(SE),15,1/8,-,-
ALI-GOODARZ,09/01/2024,6.0,14.2,-2.2,0.0,1020.7 Hpa,109º(E),15,2/8,-,-
ALI-GOODARZ,08/01/2024,3.0,12.6,-6.7,0.0,1025.6 Hpa,125º(SE),12,3/8,-,-
ALI-GOODARZ,07/01/2024,2.7,11.4,-6.0,0.0,1028.2 Hpa,114º(SE),13,0/8,-,-
ALI-GOODARZ,06/01/2024,2.3,8.0,-3.4,0.0,1021.5 Hpa,224º(SW),17,2/8,-,-
ALI-GOODARZ,05/01/2024,4.0,11.4,-3.3,0.0,1020.0 Hpa,31º(NE),13,0/8,-,-
ALI-GOODARZ,04/01/2024,4.2,10.6,-2.2,0.0,1020.6 Hpa,115º(SE),14,0/8,-,-
ALI-GOODARZ,03/01/2024,4.2,9.8,-1.4,0.0,1016.9 Hpa,257º(W),9,1/8,-,-
ALI-GOODARZ,02/01/2024,5.0,11.4,-1.3,0.0,1020.4 Hpa,138º(SE),14,1/8,-,-
ALI-GOODARZ,01/01/2024,4.2,9.5,-1.0,0.0,1021.5 Hpa,159º(S),12,3/8,-,-
ANZALI,31/01/2024,6.3,7.8,4.8,14.0,1031.3 Hpa,291º(W),13,8/8,-,-
ANZALI,30/01/2024,7.3,9.8,4.9,73.9,1032.9 Hpa,336º(NW),15,8/8,-,-
ANZALI,29/01/2024,7.9,10.9,4.9,22.4,1026.1 Hpa,11º(N),10,5/8,-,-
ANZALI,28/01/2024,9.8,12.9,6.7,0.6,1019.8 Hpa,30º(NE),10,5/8,-,-
ANZALI,27/01/2024,8.9,12.4,5.5,0.8,1011.3 Hpa,307º(NW),7,7/8,-,-
ANZALI,26/01/2024,5.9,8.7,3.1,0.0,1017.1 Hpa,270º(W),7,6/8,-,-
ANZALI,25/01/2024,6.0,8.7,3.2,0.6,1022.2 Hpa,275º(W),5,5/8,-,-
ANZALI,24/01/2024,5.7,6.8,4.6,28.2,1026.9 Hpa,320º(NW),31,8/8,-,-
ANZALI,23/01/2024,8.1,9.1,7.0,22.6,1028.7 Hpa,331º(NW),25,8/8,-,-
ANZALI,22/01/2024,10.6,14.2,6.9,27.8,1027.2 Hpa,60º(NE),12,8/8,-,-
ANZALI,21/01/2024,12.7,18.6,6.8,Tr,1017.5 Hpa,41º(NE),6,4/8,-,-
ANZALI,20/01/2024,11.2,15.8,6.6,0.0,1018.0 Hpa,259º(W),4,5/8,-,-
ANZALI,19/01/2024,10.5,14.5,6.5,0.0,1022.1 Hpa,295º(NW),5,4/8,-,-
ANZALI,18/01/2024,10.0,11.8,8.2,0.0,1026.3 Hpa,286º(W),5,8/8,-,-
ANZALI,17/01/2024,9.6,16.0,3.2,0.0,1018.7 Hpa,154º(SE),5,3/8,-,-
ANZALI,16/01/2024,9.2,14.9,3.6,0.0,1019.1 Hpa,152º(SE),5,3/8,-,7.5
ANZALI,15/01/2024,5.2,7.1,3.4,0.2,1022.2 Hpa,272º(W),9,7/8,-,-
ANZALI,14/01/2024,5.0,6.4,3.7,18.8,1021.5 Hpa,313º(NW),23,8/8,-,-
ANZALI,13/01/2024,10.7,14.0,7.3,32.0,1011.5 Hpa,332º(NW),13,6/8,-,-
ANZALI,12/01/2024,10.4,12.9,8.0,0.0,1006.3 Hpa,301º(NW),6,5/8,-,-
ANZALI,11/01/2024,9.7,10.7,8.6,4.2,1019.0 Hpa,334º(NW),10,8/8,-,-
ANZALI,10/01/2024,13.4,17.3,9.6,14.8,1018.0 Hpa,29º(NE),15,8/8,-,-
ANZALI,09/01/2024,15.7,24.2,7.2,0.0,1011.2 Hpa,261º(W),6,4/8,-,-
ANZALI,08/01/2024,10.1,15.2,5.0,0.0,1012.6 Hpa,290º(W),6,6/8,-,-
ANZALI,07/01/2024,11.0,16.3,5.7,0.0,1020.2 Hpa,309º(NW),5,0/8,-,-
ANZALI,06/01/2024,15.6,20.0,11.2,17.4,1021.0 Hpa,210º(SW),9,5/8,-,-
ANZALI,05/01/2024,13.6,17.7,9.4,0.0,1009.9 Hpa,177º(S),8,6/8,-,-
ANZALI,04/01/2024,12.6,17.6,7.5,0.0,1013.0 Hpa,147º(SE),5,4/8,-,-
ANZALI,03/01/2024,10.2,14.5,5.9,0.0,1011.3 Hpa,294º(NW),4,5/8,-,-
ANZALI,02/01/2024,12.1,16.0,8.2,0.0,1019.4 Hpa,181º(S),4,4/8,-,-
ANZALI,01/01/2024,12.3,16.2,8.4,0.0,1023.6 Hpa,174º(S),5,3/8,-,-
ARAK,31/01/2024,2.3,7.5,-2.9,0.0,1022.6 Hpa,339º(N),6,4/8,-,-
ARAK,30/01/2024,2.3,7.8,-3.2,0.0,1023.1 Hpa,8º(N),7,2/8,-,-
ARAK,29/01/2024,4.0,9.5,-1.6,0.0,1020.6 Hpa,333º(NW),5,2/8,-,-
ARAK,28/01/2024,5.2,8.8,1.6,0.0,1015.1 Hpa,277º(W),9,4/8,-,-
ARAK,27/01/2024,4.8,10.6,-1.1,7.3,1010.2 Hpa,213º(SW),9,5/8,-,-
ARAK,26/01/2024,3.7,8.9,-1.5,3.7,1015.3 Hpa,15º(N),4,7/8,-,-
ARAK,25/01/2024,7.3,11.3,3.3,0.0,1013.7 Hpa,271º(W),8,2/8,-,-
ARAK,24/01/2024,8.9,14.6,3.2,0.0,1011.3 Hpa,248º(W),13,1/8,-,-
ARAK,23/01/2024,5.0,11.7,-1.6,2.5,1017.5 Hpa,145º(SE),5,6/8,-,-
ARAK,22/01/2024,6.8,16.0,-2.3,0.0,1020.5 Hpa,86º(E),4,4/8,-,-
ARAK,21/01/2024,5.5,14.1,-3.1,0.0,1021.5 Hpa,343º(N),4,0/8,-,-
ARAK,20/01/2024,4.9,13.4,-3.6,0.0,1022.5 Hpa,229º(SW),4,3/8,-,-
ARAK,19/01/2024,4.5,12.6,-3.7,0.0,1023.3 Hpa,149º(SE),4,0/8,-,-
ARAK,18/01/2024,4.3,11.2,-2.5,0.0,1020.7 Hpa,45º(NE),4,5/8,-,-
ARAK,17/01/2024,4.2,12.0,-3.6,0.0,1020.2 Hpa,178º(S),5,2/8,-,-
ARAK,16/01/2024,5.3,11.3,-0.7,0.0,1020.5 Hpa,157º(SE),6,0/8,-,8.9
ARAK,15/01/2024,11.6,14.9,8.3,0.0,1014.2 Hpa,269º(W),11,2/8,-,-
ARAK,14/01/2024,9.7,13.6,5.7,0.0,1010.8 Hpa,237º(SW),18,3/8,-,-
ARAK,13/01/2024,6.2,11.7,0.8,0.0,1010.4 Hpa,259º(W),14,2/8,-,-
ARAK,12/01/2024,4.3,7.9,0.8,3.9,1012.1 Hpa,338º(N),8,5/8,-,-
ARAK,11/01/2024,6.5,12.3,0.6,0.8,1013.2 Hpa,341º(N),8,6/8,-,-
ARAK,10/01/2024,7.6,18.0,-2.8,0.0,1012.0 Hpa,266º(W),13,0/8,-,-
ARAK,09/01/2024,6.4,17.2,-4.4,0.0,1018.9 Hpa,265º(W),8,3/8,-,-
ARAK,08/01/2024,3.9,12.3,-4.6,0.0,1024.5 Hpa,119º(SE),3,2/8,-,-
ARAK,07/01/2024,3.6,11.5,-4.3,0.0,1026.8 Hpa,99º(E),6,0/8,-,-
ARAK,06/01/2024,3.5,11.1,-4.2,0.0,1018.2 Hpa,281º(W),13,3/8,-,-
ARAK,05/01/2024,5.8,15.0,-3.3,0.0,1017.3 Hpa,307º(NW),8,0/8,-,-
ARAK,04/01/2024,5.5,14.3,-3.4,0.0,1018.0 Hpa,144º(SE),7,0/8,-,-
ARAK,03/01/2024,5.5,12.5,-1.6,0.0,1014.6 Hpa,311º(NW),9,0/8,-,-
ARAK,02/01/2024,5.7,12.9,-1.5,0.0,1020.2 Hpa,219º(SW),4,2/8,-,-
